,Portfolio Value,Cash,Units
399,9809.635505488435,28365.0,-32.10193836619989
400,9811.561621790408,28365.0,-32.10193836619989
401,9809.632295294597,28365.0,-32.10193836619989
402,9811.401112098576,28365.0,-32.10193836619989
403,9810.601773833258,28365.0,-32.10193836619989
404,9809.796015180265,28365.0,-32.10193836619989
405,9811.240602406746,28365.0,-32.10193836619989
406,9813.757394374656,28365.0,-32.10193836619989
407,9817.657779886147,28365.0,-32.10193836619989
408,9817.339970696323,28365.0,-32.10193836619989
409,9815.413854394352,28365.0,-32.10193836619989
410,9820.871183916604,28365.0,-32.10193836619989
411,9816.951537242092,28365.0,-32.10193836619989
412,9821.994751759423,28365.0,-32.10193836619989
413,9823.599848677732,28365.0,-32.10193836619989
414,9822.797300218575,28365.0,-32.10193836619989
415,9828.193636057935,28365.0,-32.10193836619989
416,9824.720206326712,28365.0,-32.10193836619989
417,9822.476280834915,28365.0,-32.10193836619989
418,9819.747616073788,28365.0,-32.10193836619989
419,9822.152051257417,28365.0,-32.10193836619989
420,9825.044435904212,28365.0,-32.10193836619989
421,9820.710674224772,28365.0,-32.10193836619989
422,9817.982009463647,28365.0,-32.10193836619989
423,9814.450796243365,28365.0,-32.10193836619989
424,9817.179461004493,28365.0,-32.10193836619989
425,9818.62404823097,28365.0,-32.10193836619989
426,9817.500480388155,28365.0,-32.10193836619989
427,9814.129776859703,28365.0,-32.10193836619989
428,9815.09283501069,28365.0,-32.10193836619989
429,9811.55841159657,28365.0,-32.10193836619989
430,9813.484527898541,28365.0,-32.10193836619989
431,9813.327228400549,28365.0,-32.10193836619989
432,9808.351427953787,28365.0,-32.10193836619989
433,9810.216550572864,28365.0,-32.10193836619989
434,9813.487738092379,28365.0,-32.10193836619989
435,9818.30302884731,28365.0,-32.10193836619989
436,9811.882641174068,28365.0,-32.10193836619989
437,9808.832957029279,28365.0,-32.10193836619989
438,9810.59856363942,28365.0,-32.10193836619989
439,9804.980724425337,28365.0,-32.10193836619989
440,9806.425311651814,28365.0,-32.10193836619989
441,9802.894098431532,28365.0,-32.10193836619989
442,9807.388369802802,28365.0,-32.10193836619989
443,9803.853946388683,28365.0,-32.10193836619989
444,9801.128491821393,28365.0,-32.10193836619989
445,9804.820214733505,28365.0,-32.10193836619989
446,9801.449511205054,28365.0,-32.10193836619989
447,9799.362885211252,28365.0,-32.10193836619989
448,9796.733736459058,28365.0,-32.10193836619989
449,9797.11253933178,28365.0,-32.10193836619989
450,9799.04186582759,28365.0,-32.10193836619989
451,9800.711166622632,28365.0,-32.10193836619989
452,9800.967982129561,28365.0,-32.10193836619989
453,9798.399827060264,28365.0,-32.10193836619989
454,9794.868613839983,28365.0,-32.10193836619989
455,9792.942497538012,28365.0,-32.10193836619989
456,9799.362885211252,28365.0,-32.10193836619989
457,9800.967982129561,28365.0,-32.10193836619989
458,9804.290532750463,28365.0,-32.10193836619989
459,9804.499195349843,28365.0,-32.10193836619989
460,9802.894098431532,28365.0,-32.10193836619989
461,9800.004923978575,28365.0,-32.10193836619989
462,9804.338685658011,28365.0,-32.10193836619989
463,9799.683904594913,28365.0,-32.10193836619989
464,9798.078807676602,28365.0,-32.10193836619989
465,9796.794730141954,28365.0,-32.10193836619989
466,9800.6469627459,28365.0,-32.10193836619989
467,9801.931040280548,28365.0,-32.10193836619989
468,9798.399827060264,28365.0,-32.10193836619989
469,9797.05475584272,28365.0,-32.10193836619989
470,9806.425311651814,28365.0,-32.10193836619989
471,9802.57307904787,28365.0,-32.10193836619989
472,9800.967982129561,28365.0,-32.10193836619989
473,9804.499195349843,28365.0,-32.10193836619989
474,9808.030408570125,28365.0,-32.10193836619989
475,9806.425311651814,28365.0,-32.10193836619989
476,9807.388369802802,28365.0,-32.10193836619989
477,9806.807324718373,28365.0,-32.10193836619989
478,9808.351427953787,28365.0,-32.10193836619989
479,9811.561621790408,28365.0,-32.10193836619989
480,9808.030408570125,28365.0,-32.10193836619989
481,9798.399827060264,28365.0,-32.10193836619989
482,9798.720846443926,28365.0,-32.10193836619989
483,9801.128491821393,28365.0,-32.10193836619989
484,9800.967982129561,28365.0,-32.10193836619989
485,9804.659705041673,28365.0,-32.10193836619989
486,9802.57307904787,28365.0,-32.10193836619989
487,9800.967982129561,28365.0,-32.10193836619989
488,9806.746331035476,28365.0,-32.10193836619989
489,9802.894098431532,28365.0,-32.10193836619989
